Pressure,Enthalpy
435.4736620722707,72638.84979508119
544.8307493435932,75070.99663486017
677.399234988945,77504.06853859017
837.1726817264725,79938.58259974013
1028.6591665891458,82375.00662662966
1256.9216214519306,84813.76475667895
1527.6182990483226,87255.24245265863
1847.0430795948619,89699.79095366398
2222.1653247781087,92147.7312445372
2660.668992352281,94599.3575996442
3170.9907389982686,97054.94075011632
3762.356749117708,99514.73071775227
4444.818044439378,101978.95935361524
5229.284050794608,104447.84261486998
6127.554222405421,106921.58260947478
7152.347543514601,109400.3694349119
8317.329757624275,111884.38283414392
9637.138197831526,114373.79368935314
11127.404121410469,116868.7653717245
12804.772475292055,119369.45496351623
14686.91904449554,121876.01436689212
16792.564970404248,124388.59131244548
19141.488627385967,126907.33027897752
21754.534899077727,129432.37333490816
24653.621887884452,131963.86091064304
27861.745130199233,134501.93251030898
31402.979396423994,137046.72737046788
35302.4781739046,139598.38507271511
39586.47094695749,142157.04611645805
44282.25839077602,144722.8524576398
49418.205620999084,147295.94801871708
55023.73363360423,149876.4791748039
61129.30908596381,152464.59522055657
67766.4325744211,155060.44882210213
74967.62556066297,157664.19645807106
82766.41611540786,160275.99885362168
91197.3236326841,162896.02141118958
100295.84268356091,165524.43464161176
110098.4261699229,168161.41459920458
120642.46793886609,170807.14332435874
131966.2850256288,173461.80929724727
144109.09965073992,176125.607906287
157111.02121413324,178798.74193511423
171013.0283124324,181481.42207197967
185856.95104101073,184173.8674456622
201685.45368020536,186876.30619225753
218542.01792236557,189588.97605749388
236470.92678665096,192312.12503960612
255517.24936371617,195046.0120782301
275726.8265050452,197790.90779530836
297146.2577522734,200547.09529460472
319822.88933032134,203314.8710271445
343804.8037164771,206094.5457307482
369140.8106955831,208886.44545280363
395880.4401379145,211690.9126665876
424073.93664784177,214508.30749280972
453772.2562503604,217339.00903965085
485027.0652922286,220183.416876468
517890.7417487509,223041.95265858254
552416.3791408627,225915.06192324113
588657.7932885936,228803.21608003887
626669.5321481312,231706.91462293785
666506.8890094585,234626.6875956587
708225.9193640619,237563.09834786144
751883.4617939368,240516.7466264373
797537.163280165,243488.27205471447
845245.5093894461,246478.35806288844
895067.8598646701,249487.73634607389
947064.4902307554,252517.19194280708
1001296.6401268404,255567.56904755818
1057826.5691963919,258639.77769719274
1116717.6215128521,261734.80150506634
1178034.299694499,264853.7066599414
1241842.350076613,267997.65246335074
1308208.8605989004,271167.90375276544
1377202.3731498048,274365.84565496305
1448893.0132960374,277593.0012426577
1523352.6393089658,280851.05283950956
1600655.014747085,284141.86795079935
1680876.0083942092,287467.53111365705
1764093.8268328565,290830.3833976617
1850389.286129365,294233.07189801376
1939846.1308976565,297678.6124327995
2032551.4105117167,301170.4699150369
2128595.928102604,304712.66273223097
2228074.777296516,308309.90028776467
2331087.9924317594,311967.7672521292
2437741.3507318185,315692.9751004874
2548147.365274803,319493.71322590474
2662426.5517094936,323380.15203629236
2780709.0734127117,327365.1868162623
2903136.9451518524,331465.5801786709
3029867.0939316237,335703.8005977111
3161075.8091164427,340111.15933710244
3296965.597982307,344733.5801163683
3437776.571521138,349643.32657189417
3583807.3881871346,354966.43271208036
3735460.0428083874,360962.29813795764
3896229.6081031077,368358.66837717604
4059111.5388408266,389638.86644058453
