Temperature,Entropy
274.16,15.414107381902777
277.92703030303034,72.88112975105415
281.69406060606065,129.45058559649192
285.46109090909096,185.17664745409496
289.2281212121212,240.10447098128844
292.9951515151515,294.27245459063795
296.76218181818183,347.7138023606515
300.52921212121214,400.4576497254128
304.29624242424245,452.5299019788138
308.06327272727276,503.95387524380726
311.83030303030307,554.7507956000292
315.5973333333334,604.9401925590228
319.36436363636363,654.5402115188833
323.13139393939394,703.5678627721254
326.89842424242426,752.0392201243618
330.66545454545457,799.9695791613019
334.4324848484849,847.373583074093
338.1995151515152,894.2653223872044
341.96654545454544,940.6584137303785
345.73357575757575,986.5660618469561
349.50060606060606,1032.0011082611138
353.26763636363637,1076.976069403199
357.0346666666667,1121.503166466808
360.801696969697,1165.5943488487508
364.5687272727273,1209.2613126637395
368.3357575757576,1252.5155155326802
372.1027878787879,1295.368188602666
375.86981818181823,1337.8303465563167
379.6368484848485,1379.9127962078433
383.4038787878788,1421.6261441499926
387.1709090909091,1462.98080381133
390.9379393939394,1503.987002197713
394.7049696969697,1544.6547865239895
398.472,1584.9940308895661
402.2390303030303,1625.0144431103677
406.0060606060606,1664.7255717870612
409.7730909090909,1704.1368136670935
413.5401212121212,1743.2574213399112
417.30715151515153,1782.096511292864
421.07418181818184,1820.6630723472263
424.84121212121215,1858.9659744897917
428.60824242424246,1897.0139781125833
432.3752727272728,1934.815743674825
436.1423030303031,1972.3798418033089
439.90933333333334,2009.7147638510485
443.67636363636365,2046.8289329397332
447.44339393939396,2083.730715518865
451.21042424242427,2120.428433481318
454.9774545454545,2156.930376885879
458.74448484848483,2193.2448173468656
462.51151515151514,2229.380022164207
466.27854545454545,2265.344269280674
470.04557575757576,2301.145863169831
473.8126060606061,2336.7931517758084
477.5796363636364,2372.294544647978
481.3466666666667,2407.658532437762
485.113696969697,2442.893707953229
488.8807272727273,2478.0087890005248
492.6477575757576,2513.0126432797
496.4147878787879,2547.9143156504138
500.1818181818182,2582.7230581292365
503.9488484848485,2617.448363059596
507.7158787878788,2652.099999952878
511.48290909090906,2686.6880566052887
515.2499393939394,2721.2229851938973
519.0169696969697,2755.715654196346
522.784,2790.177407127131
526.5510303030303,2824.6201292849814
530.3180606060606,2859.0563239376634
534.0850909090909,2893.4991996616905
537.8521212121212,2927.962770912185
541.6191515151515,2962.4619743437465
545.3861818181817,2997.0128039611545
549.1532121212122,3031.632468883455
552.9202424242424,3066.3395784043564
556.6872727272728,3101.1543601908365
560.454303030303,3136.0989189776933
564.2213333333334,3171.1975451280855
567.9883636363636,3206.47708515684
571.755393939394,3241.9673900957932
575.5224242424242,3277.7018629811837
579.2894545454545,3313.71813471205
583.0564848484848,3350.058909714509
586.8235151515152,3386.7730421674014
590.5905454545455,3423.9169352017107
594.3575757575758,3461.556408765226
598.1246060606061,3499.769273171967
601.8916363636363,3538.649003428913
605.6586666666667,3578.3101828104327
609.4256969696969,3618.896855164569
613.1927272727273,3660.595727166818
616.9597575757575,3703.6575145446195
620.726787878788,3748.4319782143525
624.4938181818181,3795.425820431195
628.2608484848486,3845.3977686063704
632.0278787878788,3899.510018157423
635.7949090909091,3959.5648643872455
639.5619393939394,4028.633263491854
643.3289696969697,4116.153049119373
647.096,4406.961892363361
