Temperature (K),Entropy Vapor (J/kg.K)
283.16,8899.515424546853
286.8361212121212,8811.139594302833
290.51224242424246,8725.63544684804
294.18836363636365,8642.881582929787
297.8644848484849,8562.762579245498
301.5406060606061,8485.168570204296
305.2167272727273,8409.994874671556
308.8928484848485,8337.141660716063
312.5689696969697,8266.51364248655
316.24509090909095,8198.019804252992
319.92121212121214,8131.573147444485
323.5973333333334,8067.09045724217
327.27345454545457,8004.492085948913
330.94957575757576,7943.701750956597
334.625696969697,7884.646345661572
338.3018181818182,7827.2557621312635
341.97793939393944,7771.462724697728
345.6540606060606,7717.202633943575
349.3301818181818,7664.413420755505
353.00630303030306,7613.035410251994
356.68242424242425,7563.011195451397
360.3585454545455,7514.285520548581
364.0346666666667,7466.805173595534
367.71078787878787,7420.518888317245
371.3869090909091,7375.3772546307555
375.0630303030303,7331.3326373227155
378.73915151515155,7288.33910219762
382.41527272727274,7246.352348878567
386.0913939393939,7205.329649341041
389.76751515151517,7165.229791196938
393.4436363636364,7126.013024707429
397.1197575757576,7087.641012515568
400.7958787878788,7050.076781135774
404.47200000000004,7013.28467332124
408.1481212121212,6977.230300542529
411.82424242424247,6941.880494945822
415.50036363636366,6907.203260306777
419.17648484848485,6873.1677216483795
422.85260606060604,6839.7440733392295
426.5287272727273,6806.903525625424
430.2048484848485,6774.618249668273
433.8809696969697,6742.861321257214
437.5570909090909,6711.606663439367
441.23321212121215,6680.8289883538255
444.90933333333334,6650.503738578961
448.5854545454546,6620.607028298252
452.26157575757577,6591.1155845645635
455.93769696969696,6562.00668889993
459.6138181818182,6533.258119409465
463.28993939393945,6504.848093518778
466.96606060606064,6476.755211366104
470.6421818181818,6448.958399796906
474.318303030303,6421.436856820559
477.99442424242426,6394.169996296764
481.6705454545455,6367.137392525557
485.3466666666667,6340.318724320629
489.0227878787879,6313.693718056893
492.69890909090907,6287.242089104387
496.3750303030303,6260.943480996337
500.05115151515156,6234.777401627452
503.72727272727275,6208.723155728629
507.40339393939394,6182.759772797263
511.0795151515151,6156.865929555431
514.7556363636363,6131.019865842176
518.4317575757576,6105.199292613201
522.1078787878788,6079.3812904262895
525.784,6053.542196449327
529.4601212121212,6027.657477654583
533.1362424242425,6001.7015874625795
536.8123636363637,5975.647802654691
540.4884848484849,5949.468036848306
544.164606060606,5923.132626160706
547.8407272727272,5896.610081804483
551.5168484848484,5869.866803167154
555.1929696969697,5842.8667433310075
558.8690909090909,5815.571016856979
562.5452121212121,5787.937436820455
566.2213333333334,5759.919964308295
569.8974545454546,5731.468048507451
573.5735757575758,5702.525828607919
577.249696969697,5673.03115919957
580.9258181818182,5642.91440742919
584.6019393939393,5612.096950986391
588.2780606060605,5580.489277971849
591.9541818181818,5547.988547967528
595.630303030303,5514.475410065219
599.3064242424243,5479.80977438213
602.9825454545455,5443.82507435129
606.6586666666667,5406.320293215939
610.3347878787879,5367.048574168904
614.0109090909091,5325.7004163678175
617.6870303030303,5281.877905395482
621.3631515151515,5235.053269408449
625.0392727272728,5184.498086561834
628.715393939394,5129.152429945239
632.3915151515151,5067.355646585681
636.0676363636364,4996.2026549412485
639.7437575757576,4909.634097232477
643.4198787878788,4790.4631448087985
647.096,4406.961892363361
