Temperature (K),Specific Volume Liquid (m^3/kg),Specific Volume Vapor (m^3/kg)
283.16,0.0010003463721825687,106.23573416438022
286.8361212121212,0.0010007570792850422,84.40796589587552
290.51224242424246,0.0010013334260312611,67.51953418061613
294.18836363636365,0.0010020622111812216,54.36135896715198
297.8644848484849,0.0010029324271450938,44.04064431769262
301.5406060606061,0.0010039348184534304,35.89324190439912
305.2167272727273,0.001005061548792332,29.421561348479734
308.8928484848485,0.001006305945852414,24.2502343165019
312.5689696969697,0.001007662303019144,20.094216237512594
316.24509090909095,0.0010091257233106293,16.735669113051642
319.92121212121214,0.0010106919952103301,14.007090326471982
323.5973333333334,0.0010123574929257727,11.778916339323665
327.27345454545457,0.0010141190955938514,9.950354731865968
330.94957575757576,0.0010159741213556495,8.442560966730797
334.625696969697,0.0010179202732258762,7.1935291844651035
338.3018181818182,0.0010199555944091412,6.154243862712876
341.97793939393944,0.0010220784312520376,5.285764622328101
345.6540606060606,0.0010242874024190348,4.557005705073318
349.3301818181818,0.0010265813731824356,3.943035537647682
353.00630303030306,0.0010289594339474037,3.4237678213108267
356.68242424242425,0.001031420882310416,2.9829489405366036
360.3585454545455,0.0010339652080884436,2.607370796994447
364.0346666666667,0.0010365920808648856,2.2862559975664225
367.71078787878787,0.001039301339684715,2.010775461736034
371.3869090909091,0.0010420929846001962,1.7736682474001195
375.0630303030303,0.0010449671698241657,1.5689406443543044
378.73915151515155,0.0010479241982930905,1.3916270116776137
382.41527272727274,0.0010509645174790105,1.2375989174338142
386.0913939393939,0.0010540887163200203,1.1034122242923436
389.76751515151517,0.0010572975231643873,0.9861841070759332
393.4436363636364,0.0010605918046448523,0.8834937746143676
397.1197575757576,0.0010639725654177836,0.7933020365993143
400.7958787878788,0.0010674409487177385,0.7138859086348601
404.47200000000004,0.0010709982376914363,0.6437852616075425
408.1481212121212,0.001074645857487837,0.5817591519058425
411.82424242424247,0.0010783853780914274,0.5267499597981213
415.50036363636366,0.001082218517896712,0.4778538468092592
419.17648484848485,0.001086147148031146,0.4342963437711558
422.85260606060604,0.0010901732974432084,0.3954121180450362
426.5287272727273,0.0010942991587815606,0.36062815550373145
430.2048484848485,0.0010985270951007304,0.32944974117237014
433.8809696969697,0.0011028596474381613,0.3014487403898072
437.5570909090909,0.00110729954331797,0.27625377648748606
441.23321212121215,0.0011118497062475644,0.253541976341762
444.90933333333334,0.001116513266285246,0.23303201567269477
448.5854545454546,0.0011212935717701366,0.21447824470907853
452.26157575757577,0.0011261942023205154,0.19766571422147103
455.93769696969696,0.0011312189832231507,0.18240595383450686
459.6138181818182,0.0011363720013551723,0.16853338045753144
463.28993939393945,0.001141657622801493,0.15590223579873352
466.96606060606064,0.0011470805123556765,0.14438396918793925
470.6421818181818,0.0011526456551205998,0.1338649960722648
474.318303030303,0.001158358380458884,0.12424477416088679
477.99442424242426,0.0011642243885815634,0.11543414875609724
481.6705454545455,0.0011702497801092276,0.10735392669941882
485.3466666666667,0.001176441088993154,0.09993364489090571
489.0227878787879,0.0011828053192472756,0.0931105047549318
492.69890909090907,0.0011893499860161575,0.0868284485270856
496.3750303030303,0.001196083161594769,0.0810373569868748
500.05115151515156,0.0012030135271164704,0.07569235139200695
503.72727272727275,0.0012101504307627023,0.0707531849896119
507.40339393939394,0.0012175039534880736,0.06618371167611922
511.0795151515151,0.0012250849834485203,0.06195142122270632
514.7556363636363,0.0012329053005361572,0.0580270320367132
518.4317575757576,0.00124097767270167,0.05438413374002933
522.1078787878788,0.0012493159660694666,0.050998872953484146
525.784,0.0012579352712622476,0.047849676614891784
529.4601212121212,0.0012668520488500806,0.04491700795499097
533.1362424242425,0.0012760842974603851,0.04218315093262297
536.8123636363637,0.0012856517488592303,0.03963201950674389
540.4884848484849,0.0012955760952843196,0.037248988613835014
544.164606060606,0.0013058812555342006,0.03502074413781634
547.8407272727272,0.0013165936878730662,0.03293514951662871
551.5168484848484,0.0013277427598017354,0.03098112693416785
555.1929696969697,0.0013393611873152979,0.02914855130591598
558.8690909090909,0.0013514855596186608,0.02742815548748954
562.5452121212121,0.0013641569696866659,0.0258114453223979
566.2213333333334,0.0013774217769498543,0.024290623302375695
569.8974545454546,0.0013913325363764906,0.022858519743150334
573.5735757575758,0.001405949139249176,0.02150853048181872
577.249696969697,0.0014213402264925384,0.020234560178796632
580.9258181818182,0.001437584957931048,0.019030970355250296
584.6019393939393,0.0014547752544426917,0.01789253131093059
588.2780606060605,0.0014730186817196891,0.016814377037757938
591.9541818181818,0.0014924422268065812,0.01579196215465509
595.630303030303,0.001513197354325525,0.014821019710362711
599.3064242424243,0.0015354669592635998,0.013897518383202837
602.9825454545455,0.0015594752321004702,0.013017617060719166
606.6586666666667,0.001585502155961152,0.012177613841472515
610.3347878787879,0.0016139056151643807,0.011373884841642668
614.0109090909091,0.0016451563720368922,0.010602805141490833
617.6870303030303,0.001679895337447196,0.009860638304025733
621.3631515151515,0.0017190302789728351,0.009143368683191204
625.0392727272728,0.0017639034348671478,0.00844642332833911
628.715393939394,0.001816587135404252,0.007764162256472413
632.3915151515151,0.0018804050262316225,0.00708882403262375
636.0676363636364,0.0019608487712734477,0.006407978894844534
639.7437575757576,0.0020678153795915186,0.0056969708082685025
643.4198787878788,0.0022310490085654406,0.004888200723900337
647.096,0.0031055900621118006,0.0031055900621118006
